name,description,train_paraphrase,test_paraphrase
Aron,"A quadruped with a black body and gray armor plates. Its pale blue eyes peek through its head armor, and a blunt spike rises from its back.","A quadruply-sized creature with a black body and gray armor plates. Its head shield is obscured by pale blue eyes, and its back is revealed by elven wings.","Black-haired quadruped, with gray armor plates and pale blue eyes peeking out from its head armor. Its back is elevated by a blunt spike that pierces its tip."
Meditite,"A humanoid figure with a blue lower body, white arms and feet, and a white, onion-like head. It has pink cheek dots and round ears.","A humanoid with a white, onion-shaped head and pink cheek dots and round ears. The lower body is blue.","An individual characterized by blue body parts, white arms and feet, yellowish-brown hands, and a white, onion-shaped head. The creature's pink cheeks and ears are round."
Medicham,"A red and gray humanoid with a headpiece featuring three bulb extensions. It has large eyes, puffy red pant-like legs, and yellow decorations.","A red and gray-colored humanoid with a headpiece featuring three bulb extensions. It has yellow ornamentation, large eyes, and puffy red pant-like legs.","The humanoid is a red-and-gray creature with rounded head fins and three bulb extensions. It has large eyes, red pant-like legs, and yellow embellishments."
Electrike,"A green canine with yellow lightning-shaped markings, a spiky head crest, four-legged stance, and a small yellow-tipped tail.","The dog's green coat, yellow lightning-shaped markings, spiky head crest on the front of his collar, short and pale tail, and small yellow-tipped tail.","A yellow lightning-shaped dog with a green coat, spiky markings on the head, four legs, and oversized yellow tail."
Manectric,"A quadrupedal blue canine with a spiky yellow mane, red eyes, jagged upper jaw, and yellow tufts on limbs and haunches.","A blue dog with a quadriple, red eyes, spiky yellow mane, jagged upper jaw, and yellow tufts on its limbs and haunches.","An equatorial blue dog with a yellow hair, red eyes, jagged upper jaw and yellow tufts on its haunches and legs."
Plusle,"A cream biped with red markings, flat red ears, a red-tailed tip, and stubby limbs. Its cheeks feature red plus signs.","A cream-colored cross with red spots, flat red ears, a red-tailed tail, and stubby legs. It has cheeks that show red plus signs.","This creature is a cream-colored duck with prominent red markings, flat red ears, spiky tips, and stubby legs. It has red stripes on its upper body and cheeks along with red plus signs."
Volbeat,"A bipedal creature with a black body, blue chest and abdomen, yellow stripes, and red limb bands. It has curly yellow antennae, yellow eyes, and a glowing yellow spherical tail.","The bipedal creature has a black body, blue chest and abdomen, yellow stripes, and red limb bands. It also has curly yellow antennae, with yellow eyes, the most prominent characteristic being symmetrical and luminous yellow spherical tail.","Bipedal creature with a black body, blue chest and abdomen, yellow stripes and red limb bands. Curly yellow antennae, Yellow eyes and luminous yellow round tail."
Illumise,"A bipedal being with a black body, blue face, slanted blue eyes with purple markings, and curly purple hair. It has yellow antennae, a blue belly with a yellow band, and yellow spots on its rear.","Bipedal, with a blue body, curly purple hair and slanted blue eyes with purple markings, yellow antennae, striped blue belly, and yellow spots on the rear.","A bipedal creature with a blue body, curly purple hair, slanted blue eyes and purple markings. It has yellow antennae, pale blue belly (with odour of red), and yellow spots on its rear."
Roselia,"A small green creature with three thorns on its head, long eyelashes, leafy shoulder pads, and a leafy skirt. It holds a red rose in one hand and a blue one in the other.","A small green spirit with three thorns on its head, long eyelashes, leafy shoulder pads, and a leaf-like skirt. It holds reel roses in both hands.","Small green creepy creature, with three thorns on the head, long eyelashes, leafy shoulder pads, and an alligator in one hand and two blue ones in the other."
Gulpin,"A round, green creature with an amorphous shape, a black diamond mark on its back, and a yellow feather on its head. It has puckered lips and sleepy eyes.","A yellow feather with a black diamond mark on its back, an elongated green body, and puckered lips. Its eyes are sleepy.","An amorphous green creature with yellow feathers and puckered lips, sleeping eyes, along with an unidentified black diamond mark on its back."
Swalot,"A tall purple figure with a jelly-like body, beady red eyes, puckered lips, and black rhombi across its midsection. It has yellow whiskers and three-fingered hands.","A tall purple creature with a jelly-like appearance, beady red eyes, puckered lips, and black rhombi scattered throughout its abdomen. It also has yellow whiskers and three-fingered hands.","Its tall, purple body has a jelly-like texture, with beady red eyes and puckered lips in the center, black rhombi all over it, yellow whiskers on both sides, and three-fingered hands."
Carvanha,"A spherical fish with a blue upper half and red lower half, covered in sharp denticles. It has yellow fins, red spines, and a yellow membrane on its tail.","This is a spherical fish, with 'blue upper half and red lower half covered by sharp denticles' Yellow fins, red spines and yellow membrane of the tail.","Spherical, with a blue upper and red lower covered by sharp denticles, yellow fins, red spines and the tail of 'The peacock' (malek) on steroids, Yellow membrane on outside of its body Yellow fur."
Sharpedo,"A torpedo-shaped shark with a dark blue body, white underside, deep red eyes, and sharp triangular teeth. It features yellow star markings and a notched dorsal fin.","A shark is a torpedo-shaped creature with glaring triangular teeth, deep red eyes, white underside, and dark blue body. It also has yellow star markings and symmetry in its dorsal fin.","The torpedo-shaped shark has a dark blue body, white underside, deep red eyes and sharp triangular teeth. It also has yellow star markings and reveals ridges on its dorsal fin."
Numel,"A yellow quadruped resembling a camel with a volcano-shaped green-and-yellow hump, bangs over its eyes, and short stubby legs.","A yellow quadruped with a green-and-yellow hump, resembling emu rather than tussling over its eyes and short cameled legs, almost like he's chasing pigeon.","The quadruped, which is yellow in color and looks like a camel, has an orange-green hue and resembles lava, while its legs are short and have rounded tips."
Camerupt,"A red quadruped with shaggy fur, two gray volcanoes on its back, blue rings on its sides, and a droopy face. The volcanoes are larger on females.","A red quadruped with a scruffy coat, two gray volcanoes on its back, blue rings on the sides, and drooping face. The volcano's size is greater in females.","The creature has a red quadrupe with shaggy coat, two gray volcanoes on its back, blue rings on it's sides, and drooping face. Females have larger volcano-like features."
Torkoal,"A tortoise-like creature with a rock-like black shell featuring glowing red holes. It has reddish-brown skin, a long neck, and permanently closed eyes.","It is a tortoise-like creature with 'rock-effect black shell covered in glowing red holes' The creature has long neck, reddish-brown skin, closed eyes.","An elusive tortoise-like creature with a black rock that has flashing red dots on the surface. It has scaly, reddish-brown skin, possesses an extended neck, and eyes that remain closed all the time."
Spoink,"A gray pig-like creature with a springy tail, circular dark eyes, small ears, and a pearl on its head. It moves by bouncing to keep its heart beating.","A gray pig with a springy tail, circular dark eyes, small ears, and tawdry head. It keeps its heart rate constant by moving.","It's like a gray pig, with rounded dark eyes and small ears on the head. It has limbs that bounce around its body to keep its heart steady."
Grumpig,"A bipedal, purple and black creature with large ears, a curly pink tail, oval eyes, and black pearls on its body.","The bipedal, black and purple, has large ears, a curly pink tail, oval eyes, and black pearls on its body.","A black bipedal creature with large ears, curly pink tail, oval eyes, and black pearls on its body."
Spinda,"A red panda-like being with spiral eyes, red arms and belly stripe, and a cream-colored coat. It has short limbs and a unique spotted pattern.","A creature resembling a red panda, this creature has cream-colored skin and spiral-shaped arms and outlines, as well as short legs and an unusual spotted pattern.","The creature is similar to a red panda, has cream coloring on its coat and spiral-shaped eyes, and short legs with spotted pattern."
Trapinch,"An orange, insect-like creature with a round body, large zigzagging mouth, tiny twinkling eyes, and stout legs. Its massive jaws can crush rocks.","A round insect-like creature with an orange body, a large zigzag-shaped mouth, tiny twinkling eyes, and robust legs. Its massive jaws are capable of crushing rocks.","This insectlike creature is orange in color, has an orange-colored round body with a large zigzag shape, small twinkling eyes, and stamina-stamped legs. Its massive jaws are capable of crushing rocks."
Vibrava,"A dragonfly-like creature with green rhombus wings, thin black legs, bulging green eyes, and a skinny yellow body with red-tipped antennae.","An animal with dragonfly-like features, including green rhombus wings, thin black legs, bulging green eyes, and a skinny yellow body with red-tipped antennae.","Dragonfly-shaped creature with green rhombus-like wings, thin black legs and bulging green eyes, slim yellow body with red-tipped antennae."
Cacnea,"A green cactus-like figure with a round, striated body, multiple rhombus patterns, dark green spikes on its arms, and a yellow flower bud on its head.","This is the green cactus-like shape with multiple rhombus shapes in a round, circular shape, dark green spikes on its arms and yellow flower bud on head.","A green cactus-like entity with a round, striated form, several rhombus-shaped features, dark green spikes on its arms, and resembles euphorbia, an orange-scented bud on the head."
Cacturne,"A humanoid cactus resembling a scarecrow with spiky limbs, green rhombi patterns, a grinning face, and a spiked triangular hat-like head.","A spiky humanoid cactus with green rhombi patterns, a grinning face and 'the scarecrow's head is spiked triangularly shaped like .","An insect-like cactus, humanoid in shape, resembling the scarecrow with its spiky limbs and green rhombi patterns, smiling, and a head as sharp as if spiked."
Swablu,"A round blue bird with cloud-like white wings, black beady eyes, a white beak, and long feathers on its head.","This is a round blue bird with white wings that look like they're cloudy, black beady eyes, white beak and feathers on its head.","An adult, spherical blue bird with white wings that look like they're cloudy, black beady eyes, white beak and feathers on its head."
Altaria,"A fluffy blue avian with cloud-like wings, long head plumes, black eyes, a short beak, and a feathered tail.","A feathered bird with long head plumes, black eyes, a short beak, and feather-covered tail that is fluffy and blue.","The bird is a pale blue feathered creature with long head plumes, black eyes and fluffy beaks, and curved tail feathers."
Zangoose,"A white mongoose-like figure with red scar patterns, long black claws, pink eyes, sharp fangs, and a fluffy tail.","It is a white mongoose-like shape with red scars, long black claws and pink eyes, sharp fangs screeching for breath and fluffy tail .","The creature is a white mongoose-like shape with red scars, long black claws and pink eyes, sharp fangs on the tail."
Seviper,"A black, serpentine creature with yellow hexagon marks, red eyes, purple scars, red blade-like tail, and elongated red fangs.","A black creature with serpentine features, including yellow hexagon marks on the body, red eyes, purple scars, a red blade-like tail, and elongated red fangs.","The creature is a black, serpent-like creature with yellow hexagon marks on its body and red eyes and purple scars on both sides."
Lunatone,"A crescent-shaped creature with a cream-colored rocky body, deep red eyes, and a sharp beak-like structure. It floats silently under moonlight.","A creature with a crescent-shaped body, rocky build, and sharp beak-like structure. It appears to be silently floating under the moon.","The crescent-shaped creature has a cream-colored rocky body, deep red eyes and stinging beak that protrudes silently in the moonlight."
Solrock,"A round, orange rock-like form with yellow spines, bold red pupils in ringed eyes, and semicircular eyelids radiating a sun-like appearance.","A round, orange rock-like structure with yellow spines, bright red pupils in ringed eyes, and semicircular eyelids that glow like the sun.","The shape is a round, orange rock-like structure with yellow spines, bright red pupils in the ringed eyes, and semicircular eyelids that glow like the sun."
Barboach,"A gray, fish-like figure with jagged black lines, a blue round nose, small eyes, and whisker-like barbels. It has slimy skin and rounded blue fins.","A gray fish-like creature with jagged black lines, a blue round nose and small eyes, and whisker-looking barbels. It has slimy skin and rounded blue fins.","It has a grayish, fish-like appearance with jagged black lines, curved small eyes, blue round nose, and whisker-resembling barbed edges. Slim skin and rounded blue fins define its shape."
Whiscash,"A dark blue catfish-like creature with a wide yellow-marked face, yellow barbels, and a W-shape on its forehead. Its body features several dorsal spots.","A creature resembling a dark blue catfish, with primarily yellow markings on its face and yellow barbels. It has several dorsal marks on the body and forehead.","The animal is a dark blue catfish with tufts of flesh, revealing lobes in yellow and yellow barbels. It has several dorsal marks on its body and forehead."
Corphish,"A red-shelled crustacean with a short tail, saucer-like eyes, three head spikes, and large cream-colored pincers and legs.","A red-shelled crustacean with a short tail, three spikes on the head, and large pincers and legs.","It is a red-shelled crustacean, short tail, with ""suder-like"" eyes and three spikes on its head, and large pincers and legs that are cream in color."
Crawdaunt,"A red crustacean with a star on its forehead, angular stripes, powerful pincers, and circular eyes in deep sockets.","A red crusty creature with a star on its forehead, angular stripes, strong pincers, and circular eyes in deep sockets.","This is a red crustacean with angular stripes on the forehead, circular eyes in deep sockets, and strong pincers."
Baltoy,"A tan, clay-like figure with red stripes, closed eyes, flat arm-like appendages, and two spikes—one on top and one below.","A clay, red-colored tan person with closed eyes, flat arm-like features, and two spikes—one on top and one below.","The object is a tan, clay-colored person with red stripes, with eyes closed, flat arm-like features, and two spikes—one on top and one below."
Claydol,"A large, statue-like being with a black body, multiple pink-ringed eyes, yellow studs, and two orb-like arms floating beside it.","A statue-like creature with a large, black body and eyes that are mostly pink-ringed, yellow studs, and two arms that resemble orbs.","An enormous statue-like creature with a black body, multiple pink rings around eyes, yellow dots on the limbs, and two orb-shaped arms that were floating in the air."
Lileep,A rooted purple creature with eight pink tentacles around a dark mouth. Its yellow stem connects to a bulbous body with target-like eyespots.,"A purple-coloured insect with roots, eight pink tentacles around a dark mouth. The yellow stem of the animal connects to elongated bulbous body with target like eyespots.","This is a purple-rooted creature with eight pink tentacles around 'a dark mouth' The yellow stem of this insect hangs from its bulbous body, which has target like eyespots."
Cradily,"A green creature with yellow markings, hidden eyes surrounded by pink tentacles, a squat body with stubby growths, and circular chest patterns.","A green entity with yellow markings, concealed eyes encircled by pink tentacles and a slender form with round tubular growths.","The creature is a green specimen with yellow markings, hidden eyes encircled by pink tentacles and shaped like thighs with stubby growths on top and circular chest areas."
Anorith,"A green-gray arthropod with large stalked eyes, red facial markings, segmented claws, and four white swimming appendages with red tips.","The arthropod is a green-gray creature with red markings on its face, large stalking eyes, segmented claws, and four white swimming appendages with pointed red tips.","This is a green-gray reptile with large stalked eyes, red facial features and claws, four white swimming appendages with red tips."
Armaldo,"A bipedal creature with armor-like blue-gray plates, red and yellow accents, protruding eyes, segmented arms with claws, and back spikes.","A bipedal creature with armor-like blue-gray plates, red and yellow accents, protruding eyes, segmented arms with claws.","The creature is bipedal and features armor-like blue-gray plates with red and yellow accents, protruding eyes, segmented arms with claws (the mitochon) and back spikes."
Feebas,"A drab fish with patchy brown scales, round eyes, a wide mouth, and ragged fins. It has an overall tattered appearance.","A stumbling fish with scattered brown scales, round eyes, a wide mouth, and jagged fins. It has an overall dark complexion.","The fish is a dim-witted creature with scattered brown scales, round-eyed eyes, crooked tendencies, and jagged fins. Its body is mostly disheveled."
Milotic,"A serpentine creature with pale cream scales, elegant red-tipped blue fins, blue eyes, and a long graceful body.","The creature has a graceful long body, blue eyes and elegant red-tipped blue fins, pale cream scales.","It is a serpentine creature with elegant red-tipped blue fins, pale cream scales and blue eyes, along with long graceful body."
Castform,"A small, floating sphere with a white, cloud-like form, a yellow face, and red eyes. Its form changes with the weather.","It is a small, floating ball of white, cloud-like in shape with 'yellow face' and red eyes. Changes in its form as the weather changes.","a small, floating ball with cloud-like white skin and red eyes, yellow face; the shape changes with the seasons."
Kecleon,"A green, reptilian figure with yellow frills, red zigzag stripes, curled tail, and yellow rings around its eyes and lips.","A reptilian-like green creature with yellow frills, red zigzag stripes, a curled tail, and yellow rings around its eyes and lips.","The green reptilian has yellow frills, red zigzag stripes, curled tail, and yellow rings around its eyes and lips."
Shuppet,"A gray, floating figure with a cloth-like appearance, multicolored eyes, and a single pointed horn atop its head.","A gray, cloth-like floating entity with bright eyes and a solitary pointed horn on its head.","The body is a gray, floating person with cloth like proportions, has bright eyes and one pointed horn on top of its head."
Banette,"A gray doll-like creature with a zipper mouth, purplish eyes, flat arms with three fingers, and a trailing ribbon-like structure.","A gray doll-like entity with a zipper mouth, circular eyes, flat arms with three fingers, and curved ribbons.","This doll-like creature, resembling a gray doll, has rounded mouth with zipper closure and eyes with purple eyes, flat arms with three fingers, and traces of ribbon trailing behind."
Duskull,"A floating figure resembling a skull, with a black cloak-like body, a single red eye, and small arms emerging from its dark form.","It is a floating skull, with its body wrapped in cloak and black, having one red eye and small arms emerging from the shadows.","This was the skeleton that hovered above the ground, covered with dark clothing. It had a single red eye and small arms that protruded from its shadow."
Tropius,"A large, sauropod-shaped creature with a brown body and broad green leaves on its chest and back. It has a long neck and yellow banana-like growths around it.","An adult sauropod with a large brown body, yellow banana-like growths around its long neck and broad green leaves on its chest and back.","A sauropod, resembling a large sauroid, with brown-colored bodies and broad green leaves on its chest and back. The creature has limbs that are long and has yellow banana-like growths around its neck."
Chimecho,"Small and round with a bluish-white body, yellow eyes, and a long tag-like tail. It resembles a wind chime and has a yellow suction-cup growth on its head.","Small, rounded shape with yellow eyes and long tag-like tail. It looks like a wind chime and has clumps of suction-cup on its head.","The creature is circular, with a small, bluish-white body and yellow eyes. It also has an unusually long tag-like tail that looks like it could be part of jumbo jets or wind turbines."
Absol,"A white, quadruped with feline features and dark blue accents. It has a sickle-shaped horn, red almond eyes, and a scythe-like tail.","A drupedal, white in color, with catlike qualities and dark blue accents. It has a horn-shaped sickle, red almond eyes, and resembles euphoria on the front of its tail.","This quadrupled creature is a white, feline-like creature with dark cat hair and hints of color. It has red almond eyes, resembles pheasant ears, and tail feathers."
Wynaut,"Small and blue with a spherical head, ear-like arms, and a wide smile. Its long tail ends in a black tip with a white eye-like spot.","Small, blue, with a round head, wide arms, and ears, the short tail ends in slobber, ending in black tip with white eye-like mark.","It is small and blue, with a round head, broad arms that resemble those of ears, and grin. Its long tail ends in limbo at its tip in black, which has traces of white eye."
Snorunt,"A small, black figure with circular blue eyes and no visible digits. Wears a yellow cloak with orange trim and diamond markings.","A black individual with small, circular blue eyes and no discernible digits. Wears a yellow cloak with orange trim and diamond-shaped markings on the chest.","Small, black person with round blue eyes, without any digits. Has yellow cloak with orange trim and diamond markings on it."
Glalie,"Spherical with a black rocky core covered in icy armor. Blue eyes peek through holes, and it has two large, conical black horns.","The shape is circular and features a black rocky base covered in icy armor. It also showcases blue eyes through holes, and two large, conical black rings with oblong black lenses.","A circular shape with a black rock-colored core, enveloped in frozen shields, features blue eyes through holes and two large conical black horns."
Spheal,"Round and chubby with light blue fur and white spots. Has tiny tusks, black eyes, and beige flippers for limbs.","Has a round and chubby appearance, along with light blue fur and white spots. Also has small tusks, black eyes, and beige flippers for the legs.","With white spots and light blue fur, a round and chubby appearance. Also has small tusks, black eyes, and beige flippers for legs."
Sealeo,"Bright blue with a beige chest and throat, white whiskers, tusks, and strong flippers. Its body is smooth and rounded.","The bird's complexion is a bright blue color, with contrasting beige chest and throat, white whiskers, tusks, and firm flippers. Its body is smooth and rounded.","Its chest and throat are beige, its body is smooth and rounded, and its flippers are white with white whiskers and musky tusks; it is a bright blue color."
Huntail,"Serpentine with light blue skin, orange fins, and white spots. A large fin fans out from its head, giving it a striking profile.","Serpentine with orange fins, white spots, and light blue skin. A large fan-like fin that faces the opposite direction from its head.","The Serpentine is distinguished by its light blue skin, orange fins, white spots, and a large fan-shaped fin that spreads out from its head."
Bagon,"Blue, bipedal with a large gray-ridged head, yellow ears, and a wide snout. It has stubby arms and legs without digits.","Bipedal, blue, with a large gray-ridged head, yellow ears, and wide snout. The arms and legs are elongated but without the digits.","A blue, two-legged creature with a big gray-ridged head, yellow ears, and sweeping snout. It has flat, absent legs and arms."
Salamence,"A draconic creature with blue scales, red markings, and large red fins on its head. Its legs are muscular with sharp claws.","It is a draconic creature with large red fins, blue scales and red markings on its head. It has muscular legs and sharp claws.","The draconic creature is distinguished by its muscular legs and sharp claws, as well as its distinctive red markings and large red fins on its head."
Registeel,Gray and metallic with a spherical upper body and disc-like lower half. It has black arms and seven red dots on its face.,A spherical upper body with black arms and seven red dots on the face.,"The object's upper half is spherical while its lower half appears disc-like, with gray and metallic highlights. It has black arms and seven red dots on its face."
Latias,Stylized like a red and white jet with a long neck and no legs. It has sleek wings and a blue triangle on its chest.,"Shaped in the same way as a red-and-white jet, with limbs missing and long neckline. Features sleek wings and blue triangle on chest.","Modeled after a red and white jet, with slender wings and contrasting blue triangle on its chest."
Groudon,"Massive and red with armored plates, white spikes, and blue lines. Its body resembles a powerful prehistoric beast.","The creature's large, red body is adorned with armored plates, white spikes, and blue lines, giving it the appearance of a formidable ancient beast.","Red, with armored plates, white spikes and blue lines, its massive body looks like a strong prehistoric animal."
Rayquaza,"A long green serpent with red and yellow markings, jagged mouth, and yellow fins. Its body is segmented by ring-like structures.","A green snake that is long, has red and yellow markings, a jagged mouth, and fins. Its body is divided into rings.","The serpent is green, elongated, with red and yellow markings on its body. It has a jagged mouth and fin that have yellow fins and separates its bodies into ring-like segments."
Jirachi,"Small and white with long arms, flap-like sleeves, and a star-shaped yellow structure on its head with teal tags.","It is small, white, with long arms, flap-like sleeves, and a star-shaped yellow structure on its head with teal tags.","The creature is small and white in appearance, with long arms, flap-like sleeves, and a star-shaped yellow structure on its head that has teal tags."
Deoxys,Slender and humanoid with red and blue tentacle-like arms and an alien appearance. Its body is sleek and minimalistic.,"The creature is slender and humanoid, with arms that resemble those of aliens with red and blue tentacles. Its body is sleek and minimalistic.",A humanoid creature with slender arms and alien-like red and blue tentacles. Its body is sleek and minimalistic in design.
Turtwig,"Light green with a brown shell and black rim. A small sprout grows from a patch on its head, and its feet are yellow.","Its head is light green, with a brown shell and black rim. A small seed emerges from the patch on its head, and its feet are yellow.","This is a bright-green creature with brow and rim (brown); its feet are yellow, and it sprouts from earloughs on its head."
Chimchar,"Orange, chimp-like with a swirl of hair, red eye markings, and a tail flame. Its face and limbs are pale yellow.","The chimp is orange in color, has a swirl of hair, red eye markings, and gleaming tail lights. Its face and legs are pale yellow.","It is an orange-colored chimp with red eye markings, a tail flame, and whirlpool hair. Its face and legs are pale yellow."
Piplup,"Penguin-like with light blue feathers, dark blue head, and a white face. Has flipper-like arms and a short yellow beak.","Having a penguin-like appearance with light blue feathers, dark blue eyes, and emerald green fur. Has flipper-shaped arms and an abbreviated yellow beak.","With a penguin-like appearance, features pale plumage and emerald green feathers, whirlpool eyes, and white faces. Has flipper-shaped arms and an abbreviated yellow beak."
Starly,"Bird with gray-brown plumage, black head and wings, and a white mask and chest spot. It has an orange beak and legs.","The bird's feathers are mostly gray-brown, while its head and wings are black, and it has a white mask and chest spot. It has an orange beak and legs.","A black bird with a white mask and chest spot, along with gray-brown plumage. It also has an orange beak and legs on its body."
Bidoof,"Brown rodent with a round snout, red nose, and cream markings. Its tail and ears are puffy, and teeth are large and visible.","A brown rodent with a round nose, cream markings, and red fur. It has puffy ears and large, conical tail, as well as big teeth.","With a round nose, cream markings on the nose and puffy tail and ears, and big teeth, this brown rodent has pronounced white fur."
Kricketot,"Red insect with a pale yellow stripe, flat collar, and curled antennae. Its body is compact with small black limbs.","A red insect with a pale yellow stripe, flat collar, and curled antennae. Its body is small in size and has small black limbs.","The insect is a red color with contrasting features, including wing length, flat collar, curled antennae, and striped patches. Its body is small and its legs are black."
Shinx,"Quadruped with light blue front, black rear, and yellow eyes. A tuft on its head and a star-tipped black tail give it character.","The yellow eyes, light blue front, and black back of a quadruple are distinguished by its star-tipped black tail and tuft on its head.","This four-legged creature has a light blue front, black back, and yellow eyes. It also has an orange patch on its head and hints of star-shaped hair on it."
Budew,"Small, green and yellow, shaped like a rosebud. It has a bib-like collar and two head vines with colored tips.","A small, green and yellow rosebud shape is adorned with a bib-like collar and two head vines. The tips are colored.","Small, green and yellow flowers resembling a rosebud. It has an attached bib-shaped collar and two head vines with colored tips."
Roserade,"Humanoid with white petal hair, leafy green cape, and colorful rose bouquets for hands. Wears a dark-green mask.","With a humanoid mask, white petal hair, leafy green cape, and hands decorated with colorful roses.","A humanoid with white petal hair, a leafy green cape, and hands decorated with colorful roses. Wears revealing mask in shades of dark-green."
Cranidos,"Gray dinosaur with a blue domed head, red eyes, and three-clawed limbs. Its body is compact and tail short.","This is a pale dinosaur with curved, red-eyed, blue domed head, and three arms. Its body is compact and its tail is short.","A small, compact dinosaur with a short tail and symmetrical wings, topped with blue domed eyes and three-clawed limbs, is found in this species."
Shieldon,Small yellow reptile with a large gray face plate and white markings. Its body is rounded with white toes.,The reptile is a small yellow creature with rounded shoulders and white markings on its gray-colored body. It has white toes.,A small yellow reptile with white markings on its large gray-faced body. Its body is round and its toes are white in color.
Burmy,Tiny and hidden under a cloak made of environmental material like plants or trash. Its true body remains unseen.,It is small and concealed under a veil made of plant or trash material.,This object is petite and concealed under a veil made of plant or trash material. Its actual remains are not visible.
Wormadam,"Bagworm-like with a permanent plant or debris cloak. It has a long beak, oval eyes, and arms shaped from the cloak.","A bagworm-like creature with a long beak and oval eyes, but it also has cloaks made from plants or debris.","The creature has a bagworm-like appearance and cloak that is always covered with either plants or debris. It has an extended beak, oval eyes, and arms that are shaped like the receptacles of the canister."
Mothim,"Tan moth with orange patterns on wings, orange eyes, and a black body with a gray stripe. Its antennae are orange-tipped.","A tan moth with orange-striped wings, orange eyes, and a black body with overlapping gray stripes. It has antennae that are orange in color.","The moth is a tan creature with orange-colored wings, orange eyes, and wingless, with tufts on its black body and gray stripe. Its antennae are orange in color."
Vespiquen,"Bee-like with an elegant gown-shaped abdomen and honeycomb pattern. Its red gem, striped body, and sharp mandibles stand out.","Bee-like, with a honeycomb pattern and an elegant abdomen. The bird's distinctive red gem, striped body, and sharp mandibles are also noteworthy.","The beetle-like creature has a honeycomb-shaped abdomen and slender honeycombed abdomen. Its distinctive red gem, striped body, and sharp mandibles make it incredibly impressive."
Pachirisu,"Small squirrel with white fur, blue stripe, and curled fluffy tail. It has yellow cheeks and a prominent tooth.","Small white-speckled squirrel with a blue stripe on its short, curled fluffy tail. Yellow cheeks and big tooth.","A small squirrel with a white coat, blue stripe, and fluffy tail. It has yellow cheeks and accentuates oblong teeth."
Buizel,"Orange weasel with a yellow float collar and blue fins. Cream markings decorate its face, belly, and tails.","An orange weasel with a blue fins and float collar has cream markings on the face, belly, and tails.","A blue fin with a yellow float collar and an orange weasel's face, belly, and tails are decorated with cream markings."
Floatzel,"Larger than Buizel with longer limbs, orange body, and blue fins. Cream markings and a full float ring adorn it.","The bird is bigger than Buizel with longer limbs, orange body, and blue fins. It also has cream markings and a complete float ring.","Rather than Buizel, it has cream markings and a full float ring."
Cherubi,Round pink cherry-like body with green leaves on its head. A second smaller cherry is attached by a stem.,A small cherry-shaped body with green leaves on the head is attached by a stem.,It has a round cherry-shaped body with green leaves on top and one smaller cherry attached by another stem.
Cherrim,"Small plant with purple petals in shade and bright pink cherry-blossom form in sun, complete with berry-like ornaments.","A miniature flora with purple petals in shade and a bright pink, cherry-blossom shape in the shade, featuring berry-like embellishments.","The plant is petite, with purple petals in shade and a bright pinkish blossom shape when exposed to sunlight, along with berry-like embellishments."
Shellos,"Slug-like with soft body, black eyes, and frilly back. Comes in pink with spikes or blue-green with head flaps.","Featuring a slug-like build, black eyes, and frilly back. Available in pink with spikes or blue-green with head flaps.","Soft body with black eyes, frilly back. Pink spikes or blue-green with head flaps on. Slug-like appearance."
Gastrodon,Slug-shaped with six legs and smooth mantle. West form is brown and pink with head tentacles; East is green and blue.,"A slug-like creature with six legs and a smooth mantle. The western part is brown and pink, featuring head tentacles, while the eastern side is green and blue.","The creature is slug-shaped with six legs and a smooth mantle. It has wing-like features in the west, but its head tentacles are present in brown and pink; the tail appears green and blue in coloration in India."
Ambipom,"Purple monkey with two large tail-hands. Its ears are round, eyes wide, and it has a playful smile with red-tipped fingers.","The monkey is purple and has two large tail-hands. It has round ears, wide eyes, and a red-tipped nose that makes it playful.","A purple monkey with two large tail-hands, round ears, wide eyes, and a red-tipped hand with pliers is the creature's signature feature."
Drifloon,"A small, spherical creature with a purple body, yellow heart-shaped hands, and stringy arms. A white cloud sits atop its head, and a yellow 'X' marks its face.","Small, round animal with a purple body, yellow hands in shaped like hearts and long arms, white cloud on top of its head, with face deformed by 'X' (a yellow letter).","Its small, round form with a purple body, yellow hands in hearts ('here') and long arms (""hew""); it has topped . of course, one white cloud on top of the other, and its face shows an 'X' type of yellow lettering."
Drifblim,"Large and round with a purple body, cloud-like head, and a yellow 'X' on its center. It has four long, thin arms with yellow tips and a short red fan below.","With a large, round shape, curved form with an orange-colored body, cloud-shaped head, and yellow 'X' in its center. It has four thin arms with yellow tips, short red fan below.","The creature is spherical, with a purple body, shaped like an orange 'X' in its center, and equipped with four thin arms with yellow tips, flanked by arrows and topped by ends terminating in ringlets. It has rounded forms with two long segments and one short red fan on the bottom."
Buneary,"Small and rabbit-like with curled brown ears. Its upper body has smooth chocolate-colored fur, while the lower half is covered in light tan fleece.","The creature is small and has a rabbit-like appearance, with brown curling ears. Its upper body has smooth chocolate-colored fur, while its lower body is covered in light tan fleece.","It is small and rabbit-like, with brown curling ears. Its upper body has smooth chocolate fur, while its lower half is covered in light tan fleece."
Lopunny,"Tall and slender with dark brown fur, long bent ears, and cream tufts on its limbs. It has pink eyes and a soft, fluffy appearance.","The creature is tall and slender, with dark brown fur, long conical ears, and cream-colored tufts on its legs. It has pink eyes and soft fluffy texture.","Its height is tall and slender, with dark brown fur, long conical ears, and cream-colored tufts on its legs. It has pink eyes and soft fluffy texture."
